bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,253.0,99.0,154.0,39.130434782608695,60.869565217391305,253.0,99.0,154.0,0.39565182639277435,57.46268656716418,57.067034740771405,0.6428571428571429
2.0,253.0,217.0,36.0,85.7707509881423,14.229249011857704,506.0,316.0,190.0,1.2628886579809768,70.8955223880597,69.63263373007872,1.6631578947368422
3.0,253.0,237.0,16.0,93.67588932806323,6.324110671936765,759.0,553.0,206.0,2.2100551514667095,76.86567164179104,74.65561649032433,2.6844660194174756
4.0,253.0,249.0,4.0,98.41897233201581,1.5810276679841877,1012.0,802.0,210.0,3.20517944209096,78.35820895522389,75.15302951313292,3.8190476190476192
5.0,252.0,244.0,8.0,96.82539682539682,3.1746031746031775,1264.0,1046.0,218.0,4.1803213172408284,81.34328358208955,77.16296226484873,4.798165137614679
6.0,253.0,251.0,2.0,99.2094861660079,0.7905138339920939,1517.0,1297.0,220.0,5.183438574054832,82.08955223880596,76.90611366475113,5.8954545454545455
7.0,253.0,251.0,2.0,99.2094861660079,0.7905138339920939,1770.0,1548.0,222.0,6.186555830868835,82.83582089552239,76.64926506465355,6.972972972972973
8.0,253.0,253.0,0.0,100.0,0.0,2023.0,1801.0,222.0,7.1976660538725925,82.83582089552239,75.6381548416498,8.112612612612613
9.0,253.0,253.0,0.0,100.0,0.0,2276.0,2054.0,222.0,8.20877627687635,82.83582089552239,74.62704461864604,9.252252252252251
10.0,253.0,252.0,1.0,99.60474308300395,0.3952569169960469,2529.0,2306.0,223.0,9.21589001678523,83.2089552238806,73.99306520709537,10.340807174887892
11.0,253.0,251.0,2.0,99.2094861660079,0.7905138339920939,2782.0,2557.0,225.0,10.219007273599233,83.95522388059702,73.73621660699779,11.364444444444445
12.0,253.0,251.0,2.0,99.2094861660079,0.7905138339920939,3035.0,2808.0,227.0,11.222124530413236,84.70149253731343,73.47936800690019,12.370044052863436
13.0,253.0,251.0,2.0,99.2094861660079,0.7905138339920939,3288.0,3059.0,229.0,12.22524178722724,85.44776119402985,73.2225194068026,13.358078602620088
14.0,253.0,251.0,2.0,99.2094861660079,0.7905138339920939,3541.0,3310.0,231.0,13.228359044041243,86.19402985074628,72.96567080670503,14.329004329004329
15.0,253.0,251.0,2.0,99.2094861660079,0.7905138339920939,3794.0,3561.0,233.0,14.231476300855247,86.94029850746269,72.70882220660744,15.283261802575108
16.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,4046.0,3812.0,234.0,15.234593557669251,87.31343283582089,72.07883927815163,16.29059829059829
17.0,253.0,249.0,4.0,98.41897233201581,1.5810276679841877,4299.0,4061.0,238.0,16.2297178482935,88.80597014925372,72.57625230096022,17.063025210084035
18.0,253.0,253.0,0.0,100.0,0.0,4552.0,4314.0,238.0,17.24082807129726,88.80597014925372,71.56514207795647,18.126050420168067
19.0,253.0,253.0,0.0,100.0,0.0,4805.0,4567.0,238.0,18.251938294301016,88.80597014925372,70.55403185495271,19.189075630252102
20.0,253.0,253.0,0.0,100.0,0.0,5058.0,4820.0,238.0,19.26304851730477,88.80597014925372,69.54292163194896,20.252100840336134
21.0,253.0,253.0,0.0,100.0,0.0,5311.0,5073.0,238.0,20.27415874030853,88.80597014925372,68.5318114089452,21.31512605042017
22.0,253.0,253.0,0.0,100.0,0.0,5564.0,5326.0,238.0,21.285268963312284,88.80597014925372,67.52070118594145,22.3781512605042
23.0,253.0,252.0,1.0,99.60474308300395,0.3952569169960469,5817.0,5578.0,239.0,22.292382703221165,89.17910447761194,66.88672177439078,23.338912133891213
24.0,253.0,246.0,7.0,97.23320158102767,2.7667984189723285,6070.0,5824.0,246.0,23.27551754456079,91.7910447761194,68.51552723155862,23.67479674796748
25.0,252.0,249.0,3.0,98.80952380952381,1.1904761904761898,6322.0,6073.0,249.0,24.27064183518504,92.91044776119404,68.63980592600899,24.389558232931726
26.0,253.0,252.0,1.0,99.60474308300395,0.3952569169960469,6575.0,6325.0,250.0,25.277755575093916,93.28358208955224,68.00582651445832,25.3
27.0,253.0,252.0,1.0,99.60474308300395,0.3952569169960469,6828.0,6577.0,251.0,26.284869315002798,93.65671641791045,67.37184710290765,26.203187250996017
28.0,253.0,252.0,1.0,99.60474308300395,0.3952569169960469,7081.0,6829.0,252.0,27.29198305491168,94.02985074626865,66.73786769135697,27.099206349206348
29.0,253.0,252.0,1.0,99.60474308300395,0.3952569169960469,7334.0,7081.0,253.0,28.299096794820557,94.40298507462687,66.10388827980631,27.988142292490117
30.0,253.0,253.0,0.0,100.0,0.0,7587.0,7334.0,253.0,29.310207017824315,94.40298507462687,65.09277805680256,28.988142292490117
31.0,253.0,253.0,0.0,100.0,0.0,7840.0,7587.0,253.0,30.321317240828073,94.40298507462687,64.0816678337988,29.988142292490117
32.0,253.0,253.0,0.0,100.0,0.0,8093.0,7840.0,253.0,31.332427463831827,94.40298507462687,63.07055761079504,30.988142292490117
33.0,253.0,253.0,0.0,100.0,0.0,8346.0,8093.0,253.0,32.34353768683558,94.40298507462687,62.05944738779129,31.988142292490117
34.0,253.0,253.0,0.0,100.0,0.0,8599.0,8346.0,253.0,33.35464790983934,94.40298507462687,61.048337164787526,32.98814229249012
35.0,253.0,253.0,0.0,100.0,0.0,8852.0,8599.0,253.0,34.3657581328431,94.40298507462687,60.03722694178377,33.98814229249012
36.0,252.0,250.0,2.0,99.2063492063492,0.7936507936507979,9104.0,8849.0,255.0,35.364878906562225,95.14925373134328,59.784374824781054,34.70196078431373
37.0,253.0,253.0,0.0,100.0,0.0,9357.0,9102.0,255.0,36.37598912956598,95.14925373134328,58.7732646017773,35.694117647058825
38.0,253.0,252.0,1.0,99.60474308300395,0.3952569169960469,9610.0,9354.0,256.0,37.38310286947486,95.5223880597015,58.13928519022664,36.5390625
39.0,253.0,253.0,0.0,100.0,0.0,9863.0,9607.0,256.0,38.394213092478616,95.5223880597015,57.12817496722288,37.52734375
40.0,253.0,249.0,4.0,98.41897233201581,1.5810276679841877,10116.0,9856.0,260.0,39.38933738310287,97.01492537313433,57.62558799003146,37.90769230769231
41.0,253.0,253.0,0.0,100.0,0.0,10369.0,10109.0,260.0,40.400447606106624,97.01492537313433,56.61447776702771,38.88076923076923
42.0,253.0,252.0,1.0,99.60474308300395,0.3952569169960469,10622.0,10361.0,261.0,41.407561346015505,97.38805970149254,55.98049835547703,39.69731800766284
43.0,253.0,253.0,0.0,100.0,0.0,10875.0,10614.0,261.0,42.41867156901926,97.38805970149254,54.96938813247328,40.666666666666664
44.0,253.0,252.0,1.0,99.60474308300395,0.3952569169960469,11128.0,10866.0,262.0,43.42578530892814,97.76119402985074,54.3354087209226,41.47328244274809
45.0,252.0,252.0,0.0,100.0,0.0,11380.0,11118.0,262.0,44.43289904883702,97.76119402985074,53.32829498101372,42.43511450381679
46.0,253.0,253.0,0.0,100.0,0.0,11633.0,11371.0,262.0,45.44400927184078,97.76119402985074,52.317184758009965,43.400763358778626
47.0,253.0,253.0,0.0,100.0,0.0,11886.0,11624.0,262.0,46.45511949484454,97.76119402985074,51.3060745350062,44.36641221374046
48.0,253.0,252.0,1.0,99.60474308300395,0.3952569169960469,12139.0,11876.0,263.0,47.46223323475342,98.13432835820896,50.67209512345554,45.155893536121674
49.0,253.0,253.0,0.0,100.0,0.0,12392.0,12129.0,263.0,48.473343457757174,98.13432835820896,49.66098490045179,46.11787072243346
50.0,253.0,253.0,0.0,100.0,0.0,12645.0,12382.0,263.0,49.48445368076093,98.13432835820896,48.64987467744803,47.07984790874525
51.0,253.0,253.0,0.0,100.0,0.0,12898.0,12635.0,263.0,50.49556390376469,98.13432835820896,47.63876445444427,48.041825095057035
52.0,253.0,253.0,0.0,100.0,0.0,13151.0,12888.0,263.0,51.506674126768445,98.13432835820896,46.627654231440516,49.00380228136882
53.0,253.0,253.0,0.0,100.0,0.0,13404.0,13141.0,263.0,52.5177843497722,98.13432835820896,45.61654400843676,49.965779467680605
54.0,253.0,253.0,0.0,100.0,0.0,13657.0,13394.0,263.0,53.528894572775954,98.13432835820896,44.60543378543301,50.9277566539924
55.0,253.0,253.0,0.0,100.0,0.0,13910.0,13647.0,263.0,54.540004795779716,98.13432835820896,43.594323562429246,51.88973384030418
56.0,252.0,252.0,0.0,100.0,0.0,14162.0,13899.0,263.0,55.5471185356886,98.13432835820896,42.587209822520364,52.847908745247146
57.0,253.0,253.0,0.0,100.0,0.0,14415.0,14152.0,263.0,56.55822875869235,98.13432835820896,41.57609959951661,53.80988593155894
58.0,253.0,252.0,1.0,99.60474308300395,0.3952569169960469,14668.0,14404.0,264.0,57.56534249860123,98.50746268656717,40.942120187965934,54.56060606060606
59.0,253.0,253.0,0.0,100.0,0.0,14921.0,14657.0,264.0,58.57645272160499,98.50746268656717,39.93100996496218,55.51893939393939
60.0,253.0,253.0,0.0,100.0,0.0,15174.0,14910.0,264.0,59.58756294460874,98.50746268656717,38.919899741958424,56.47727272727273
61.0,253.0,253.0,0.0,100.0,0.0,15427.0,15163.0,264.0,60.5986731676125,98.50746268656717,37.90878951895466,57.43560606060606
62.0,253.0,253.0,0.0,100.0,0.0,15680.0,15416.0,264.0,61.60978339061626,98.50746268656717,36.89767929595091,58.39393939393939
63.0,253.0,253.0,0.0,100.0,0.0,15933.0,15669.0,264.0,62.62089361362001,98.50746268656717,35.886569072947154,59.35227272727273
