,trn,tst,oot
0,0.8184764991896273,0.714828897338403,0.547486033519553
1,0.7825370675453048,0.7509157509157509,0.5307262569832403
2,0.7709320695102686,0.8016194331983806,0.547486033519553
3,0.7862838915470495,0.7193675889328063,0.5307262569832403
4,0.7908082408874801,0.7389558232931727,0.5754189944134078
5,0.7859424920127795,0.7559055118110236,0.553072625698324
6,0.7681159420289855,0.7606177606177607,0.5251396648044693
7,0.76049766718507,0.810126582278481,0.5754189944134078
8,0.7816455696202531,0.7701612903225806,0.5083798882681564
9,0.7768729641693811,0.7556390977443609,0.5251396648044693
10,0.7636363636363637,0.7745454545454545,0.5195530726256983
11,0.7867528271405493,0.7662835249042146,0.5418994413407822
12,0.7767441860465116,0.7659574468085106,0.5139664804469274
13,0.7922077922077922,0.7765151515151515,0.5027932960893855
14,0.7877358490566038,0.7663934426229508,0.5418994413407822
15,0.7668231611893583,0.7219917012448133,0.547486033519553
16,0.8025889967637541,0.7175572519083969,0.5363128491620112
17,0.7879799666110183,0.7117437722419929,0.5754189944134078
18,0.7887788778877888,0.6970802919708029,0.547486033519553
19,0.7673667205169629,0.8045977011494253,0.5754189944134078
20,0.7944983818770227,0.7175572519083969,0.5698324022346368
21,0.7712854757929883,0.7437722419928826,0.5307262569832403
22,0.7774140752864157,0.7769516728624535,0.5642458100558659
23,0.766295707472178,0.7450199203187251,0.5642458100558659
24,0.7678571428571429,0.7803030303030303,0.5418994413407822
25,0.7867528271405493,0.7394636015325671,0.5642458100558659
26,0.7862838915470495,0.7233201581027668,0.5810055865921788
27,0.7739837398373983,0.7471698113207547,0.5586592178770949
28,0.7799671592775042,0.7601476014760148,0.5195530726256983
29,0.7761437908496732,0.7686567164179104,0.5418994413407822
