bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,121.0,59.0,62.0,48.760330578512395,51.239669421487605,121.0,59.0,62.0,0.4950079704673211,34.63687150837989,34.14186353791257,0.9516129032258065
2.0,121.0,101.0,20.0,83.47107438016529,16.52892561983471,242.0,160.0,82.0,1.3423944961825656,45.81005586592179,44.467661369739226,1.951219512195122
3.0,121.0,106.0,15.0,87.60330578512396,12.396694214876035,363.0,266.0,97.0,2.2317308499035153,54.18994413407821,51.9582132841747,2.7422680412371134
4.0,121.0,115.0,6.0,95.04132231404958,4.95867768595042,484.0,381.0,103.0,3.1965768940347346,57.54189944134078,54.34532254730605,3.6990291262135924
5.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,605.0,501.0,104.0,4.2033727661716584,58.100558659217874,53.89718589304621,4.8173076923076925
6.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,726.0,621.0,105.0,5.210168638308583,58.659217877094974,53.449049238786394,5.914285714285715
7.0,121.0,121.0,0.0,100.0,0.0,847.0,742.0,105.0,6.225354476046649,58.659217877094974,52.43386340104833,7.066666666666666
8.0,121.0,117.0,4.0,96.69421487603306,3.305785123966942,968.0,859.0,109.0,7.206980451380149,60.89385474860335,53.686874297223206,7.8807339449541285
9.0,121.0,117.0,4.0,96.69421487603306,3.305785123966942,1089.0,976.0,113.0,8.188606426713651,63.12849162011173,54.939885193398084,8.63716814159292
10.0,121.0,118.0,3.0,97.52066115702479,2.47933884297521,1210.0,1094.0,116.0,9.178622367648293,64.80446927374301,55.625846906094715,9.431034482758621
11.0,121.0,121.0,0.0,100.0,0.0,1331.0,1215.0,116.0,10.193808205386357,64.80446927374301,54.61066106835665,10.474137931034482
12.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,1452.0,1335.0,117.0,11.200604077523282,65.36312849162012,54.162524414096836,11.41025641025641
13.0,121.0,117.0,4.0,96.69421487603306,3.305785123966942,1573.0,1452.0,121.0,12.182230052856783,67.59776536312849,55.41553531027171,12.0
14.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,1694.0,1572.0,122.0,13.189025924993707,68.15642458100558,54.96739865601187,12.885245901639344
15.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,1815.0,1692.0,123.0,14.195821797130632,68.71508379888269,54.519262001752054,13.75609756097561
16.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,1936.0,1812.0,124.0,15.202617669267555,69.27374301675978,54.07112534749223,14.612903225806452
17.0,121.0,121.0,0.0,100.0,0.0,2057.0,1933.0,124.0,16.21780350700562,69.27374301675978,53.05593950975416,15.588709677419354
18.0,121.0,117.0,4.0,96.69421487603306,3.305785123966942,2178.0,2050.0,128.0,17.199429482339124,71.50837988826815,54.308950405929025,16.015625
19.0,121.0,118.0,3.0,97.52066115702479,2.47933884297521,2299.0,2168.0,131.0,18.189445423273764,73.18435754189944,54.99491211862568,16.549618320610687
20.0,121.0,121.0,0.0,100.0,0.0,2420.0,2289.0,131.0,19.20463126101183,73.18435754189944,53.97972628088762,17.47328244274809
21.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,2541.0,2409.0,132.0,20.211427133148753,73.74301675977654,53.531589626627785,18.25
22.0,121.0,121.0,0.0,100.0,0.0,2662.0,2530.0,132.0,21.22661297088682,73.74301675977654,52.51640378888972,19.166666666666668
23.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,2783.0,2650.0,133.0,22.233408843023742,74.30167597765363,52.06826713462989,19.924812030075188
24.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,2904.0,2770.0,134.0,23.24020471516067,74.86033519553072,51.62013048037005,20.671641791044777
25.0,120.0,119.0,1.0,99.16666666666667,0.8333333333333286,3024.0,2889.0,135.0,24.238610621696452,75.41899441340782,51.180383791711364,21.4
26.0,121.0,114.0,7.0,94.21487603305785,5.785123966942152,3145.0,3003.0,142.0,25.19506670022653,79.32960893854748,54.13454223832095,21.14788732394366
27.0,121.0,118.0,3.0,97.52066115702479,2.47933884297521,3266.0,3121.0,145.0,26.18508264116117,81.00558659217877,54.8205039510176,21.52413793103448
28.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,3387.0,3241.0,146.0,27.191878513298096,81.56424581005587,54.37236729675777,22.198630136986303
29.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,3508.0,3361.0,147.0,28.19867438543502,82.12290502793296,53.92423064249794,22.86394557823129
30.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,3629.0,3481.0,148.0,29.205470257571942,82.68156424581005,53.476093988238105,23.52027027027027
31.0,121.0,119.0,2.0,98.34710743801652,1.652892561983478,3750.0,3600.0,150.0,30.203876164107726,83.79888268156425,53.595006517456525,24.0
32.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,3871.0,3720.0,151.0,31.210672036244652,84.35754189944134,53.14686986319669,24.635761589403973
