,Model,NVARS,Parameters,Trn,Tst,OOT
83,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.83252818,0.691119691,0.558659218
84,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.790082645,0.727272727,0.530726257
85,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.819645733,0.725868726,0.502793296
86,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.794165316,0.798479087,0.569832402
87,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.801626016,0.747169811,0.541899441
88,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.788368336,0.754789272,0.547486034
89,RF,10,"min_impurity_decrease=2e-05, n_estimators=20",0.787928222,0.719101124,0.525139665
90,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.752396166,0.75984252,0.547486034
91,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.763422819,0.686619718,0.547486034
92,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.738095238,0.705479452,0.553072626
93,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.713607595,0.697580645,0.553072626
94,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.753289474,0.669117647,0.508379888
95,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.762360447,0.774703557,0.530726257
96,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.778110945,0.737089202,0.530726257
97,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.766505636,0.741312741,0.536312849
98,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.76433121,0.718253968,0.547486034
99,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=15, min_samples_split=30, n_estimators=20",0.757024793,0.705454545,0.547486034
100,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.74025974,0.727272727,0.541899441
101,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.75462963,0.737068966,0.508379888
102,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.748822606,0.75308642,0.575418994
103,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.750397456,0.701195219,0.553072626
104,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.750825083,0.718978102,0.56424581
105,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.747524752,0.762773723,0.558659218
106,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.763033175,0.712550607,0.553072626
107,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.709415584,0.696969697,0.508379888
108,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.744463373,0.682593857,0.558659218
109,RF,10,"min_impurity_decrease=3e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.739903069,0.743295019,0.56424581
110,RF,10,"min_impurity_decrease=2e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.743243243,0.756944444,0.553072626
111,RF,10,"min_impurity_decrease=2e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.751219512,0.713207547,0.547486034
112,RF,10,"min_impurity_decrease=2e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.751219512,0.769811321,0.56424581
113,RF,10,"min_impurity_decrease=2e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.766666667,0.724,0.536312849
114,RF,10,"min_impurity_decrease=2e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.778846154,0.72265625,0.51396648
115,RF,10,"min_impurity_decrease=2e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.76119403,0.740072202,0.525139665
116,RF,10,"min_impurity_decrease=2e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.734660033,0.725631769,0.541899441
117,RF,10,"min_impurity_decrease=2e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.758389262,0.75,0.530726257
118,RF,10,"min_impurity_decrease=2e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.767946578,0.747330961,0.56424581
119,RF,10,"min_impurity_decrease=2e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.718309859,0.713692946,0.519553073
120,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.796327212,0.722419929,0.569832402
121,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.803571429,0.75,0.558659218
122,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.763955343,0.790513834,0.547486034
123,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.776025237,0.800813008,0.575418994
124,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.764320786,0.773234201,0.541899441
125,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.779050736,0.743494424,0.558659218
126,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.781701445,0.743190661,0.519553073
127,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.788429752,0.734545455,0.530726257
128,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.773082942,0.763485477,0.536312849
129,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.760450161,0.782945736,0.553072626
130,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.800995025,0.750902527,0.525139665
131,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.7752443,0.789473684,0.541899441
132,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.804674457,0.743772242,0.480446927
133,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.790923825,0.752851711,0.569832402
134,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.785597381,0.802973978,0.536312849
135,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.788309637,0.761133603,0.519553073
