,variables
156,card_Merch_num_des_zip_avg_30
157,card_Merch_num_des_zip_count_30
158,card_Merch_num_des_zip_variability_std_14
159,card_Merch_num_des_zip_variability_cum_14
160,card_Merch_num_des_zip_variability_max_14
161,card_Merch_num_des_zip_variability_min_14
162,card_Merch_num_des_zip_variability_avg_14
163,card_Merch_num_des_zip_actual/total_14
164,card_Merch_num_des_zip_actual/max_14
165,card_Merch_num_des_zip_actual/avg_14
166,card_Merch_num_des_zip_std_14
167,card_Merch_num_des_zip_total_14
168,card_Merch_num_des_zip_max_14
169,card_Merch_num_des_zip_avg_14
170,card_Merch_num_des_zip_count_14
171,card_Merch_num_des_zip_variability_std_7
172,card_Merch_num_des_zip_variability_cum_7
173,card_Merch_num_des_zip_variability_max_7
174,card_Merch_num_des_zip_variability_min_7
175,card_Merch_num_des_zip_variability_avg_7
176,card_Merch_num_des_zip_actual/total_7
177,card_Merch_num_des_zip_actual/max_7
178,card_Merch_num_des_zip_actual/avg_7
179,card_Merch_num_des_zip_std_7
180,card_Merch_num_des_zip_total_7
181,card_Merch_num_des_zip_max_7
182,card_Merch_num_des_zip_avg_7
183,card_Merch_num_des_zip_count_7
184,card_Merch_num_des_zip_variability_std_3
185,card_Merch_num_des_zip_variability_cum_3
186,card_Merch_num_des_zip_variability_max_3
187,card_Merch_num_des_zip_variability_min_3
188,card_Merch_num_des_zip_variability_avg_3
189,card_Merch_num_des_zip_actual/total_3
190,card_Merch_num_des_zip_actual/max_3
191,card_Merch_num_des_zip_actual/avg_3
192,card_Merch_num_des_zip_std_3
193,card_Merch_num_des_zip_total_3
194,card_Merch_num_des_zip_max_3
195,card_Merch_num_des_zip_avg_3
196,card_Merch_num_des_zip_count_3
197,card_Merch_num_des_zip_variability_std_1
198,card_Merch_num_des_zip_variability_cum_1
199,card_Merch_num_des_zip_variability_max_1
200,card_Merch_num_des_zip_variability_min_1
201,card_Merch_num_des_zip_variability_avg_1
202,card_Merch_num_des_zip_actual/total_1
203,card_Merch_num_des_zip_actual/max_1
204,card_Merch_num_des_zip_actual/avg_1
205,card_Merch_num_des_zip_std_1
206,card_Merch_num_des_zip_total_1
207,card_Merch_num_des_zip_max_1
208,card_Merch_num_des_zip_avg_1
209,card_Merch_num_des_zip_count_1
210,card_Merch_num_des_zip_variability_std_0
211,card_Merch_num_des_zip_variability_cum_0
212,card_Merch_num_des_zip_variability_max_0
213,card_Merch_num_des_zip_variability_min_0
214,card_Merch_num_des_zip_variability_avg_0
215,card_Merch_num_des_zip_actual/total_0
216,card_Merch_num_des_zip_actual/max_0
217,card_Merch_num_des_zip_actual/avg_0
218,card_Merch_num_des_zip_std_0
219,card_Merch_num_des_zip_total_0
220,card_Merch_num_des_zip_max_0
221,card_Merch_num_des_zip_avg_0
222,card_Merch_num_des_zip_count_0
223,card_Merch_num_des_zip_day_since
