,variables
720,card_Merch_num_des_actual/avg_3
721,card_Merch_num_des_std_3
722,card_Merch_num_des_total_3
723,card_Merch_num_des_max_3
724,card_Merch_num_des_avg_3
725,card_Merch_num_des_count_3
726,card_Merch_num_des_variability_std_1
727,card_Merch_num_des_variability_cum_1
728,card_Merch_num_des_variability_max_1
729,card_Merch_num_des_variability_min_1
730,card_Merch_num_des_variability_avg_1
731,card_Merch_num_des_actual/total_1
732,card_Merch_num_des_actual/max_1
733,card_Merch_num_des_actual/avg_1
734,card_Merch_num_des_std_1
735,card_Merch_num_des_total_1
736,card_Merch_num_des_max_1
737,card_Merch_num_des_avg_1
738,card_Merch_num_des_count_1
739,card_Merch_num_des_variability_std_0
740,card_Merch_num_des_variability_cum_0
741,card_Merch_num_des_variability_max_0
742,card_Merch_num_des_variability_min_0
743,card_Merch_num_des_variability_avg_0
744,card_Merch_num_des_actual/total_0
745,card_Merch_num_des_actual/max_0
746,card_Merch_num_des_actual/avg_0
747,card_Merch_num_des_std_0
748,card_Merch_num_des_total_0
749,card_Merch_num_des_max_0
750,card_Merch_num_des_avg_0
751,card_Merch_num_des_count_0
752,card_Merch_num_des_day_since
753,card_Merch_zip_variability_std_30
754,card_Merch_zip_variability_cum_30
755,card_Merch_zip_variability_max_30
756,card_Merch_zip_variability_min_30
757,card_Merch_zip_variability_avg_30
758,card_Merch_zip_actual/total_30
759,card_Merch_zip_actual/max_30
760,card_Merch_zip_actual/avg_30
761,card_Merch_zip_std_30
762,card_Merch_zip_total_30
763,card_Merch_zip_max_30
764,card_Merch_zip_avg_30
765,card_Merch_zip_count_30
766,card_Merch_zip_variability_std_14
767,card_Merch_zip_variability_cum_14
768,card_Merch_zip_variability_max_14
769,card_Merch_zip_variability_min_14
770,card_Merch_zip_variability_avg_14
771,card_Merch_zip_actual/total_14
772,card_Merch_zip_actual/max_14
773,card_Merch_zip_actual/avg_14
774,card_Merch_zip_std_14
775,card_Merch_zip_total_14
776,card_Merch_zip_max_14
777,card_Merch_zip_avg_14
778,card_Merch_zip_count_14
779,card_Merch_zip_variability_std_7
780,card_Merch_zip_variability_cum_7
781,card_Merch_zip_variability_max_7
782,card_Merch_zip_variability_min_7
783,card_Merch_zip_variability_avg_7
784,card_Merch_zip_actual/total_7
785,card_Merch_zip_actual/max_7
786,card_Merch_zip_actual/avg_7
787,card_Merch_zip_std_7
788,card_Merch_zip_total_7
789,card_Merch_zip_max_7
790,card_Merch_zip_avg_7
791,card_Merch_zip_count_7
792,card_Merch_zip_variability_std_3
793,card_Merch_zip_variability_cum_3
794,card_Merch_zip_variability_max_3
795,card_Merch_zip_variability_min_3
796,card_Merch_zip_variability_avg_3
797,card_Merch_zip_actual/total_3
798,card_Merch_zip_actual/max_3
799,card_Merch_zip_actual/avg_3
800,card_Merch_zip_std_3
801,card_Merch_zip_total_3
802,card_Merch_zip_max_3
803,card_Merch_zip_avg_3
804,card_Merch_zip_count_3
805,card_Merch_zip_variability_std_1
806,card_Merch_zip_variability_cum_1
807,card_Merch_zip_variability_max_1
808,card_Merch_zip_variability_min_1
809,card_Merch_zip_variability_avg_1
810,card_Merch_zip_actual/total_1
811,card_Merch_zip_actual/max_1
812,card_Merch_zip_actual/avg_1
813,card_Merch_zip_std_1
814,card_Merch_zip_total_1
815,card_Merch_zip_max_1
816,card_Merch_zip_avg_1
817,card_Merch_zip_count_1
818,card_Merch_zip_variability_std_0
819,card_Merch_zip_variability_cum_0
820,card_Merch_zip_variability_max_0
821,card_Merch_zip_variability_min_0
822,card_Merch_zip_variability_avg_0
823,card_Merch_zip_actual/total_0
824,card_Merch_zip_actual/max_0
825,card_Merch_zip_actual/avg_0
826,card_Merch_zip_std_0
827,card_Merch_zip_total_0
828,card_Merch_zip_max_0
829,card_Merch_zip_avg_0
830,card_Merch_zip_count_0
831,card_Merch_zip_day_since
832,card_Merch_state_variability_std_30
833,card_Merch_state_variability_cum_30
834,card_Merch_state_variability_max_30
835,card_Merch_state_variability_min_30
836,card_Merch_state_variability_avg_30
837,card_Merch_state_actual/total_30
838,card_Merch_state_actual/max_30
839,card_Merch_state_actual/avg_30
840,card_Merch_state_std_30
841,card_Merch_state_total_30
842,card_Merch_state_max_30
843,card_Merch_state_avg_30
844,card_Merch_state_count_30
845,card_Merch_state_variability_std_14
846,card_Merch_state_variability_cum_14
847,card_Merch_state_variability_max_14
848,card_Merch_state_variability_min_14
849,card_Merch_state_variability_avg_14
850,card_Merch_state_actual/total_14
851,card_Merch_state_actual/max_14
852,card_Merch_state_actual/avg_14
853,card_Merch_state_std_14
854,card_Merch_state_total_14
855,card_Merch_state_max_14
856,card_Merch_state_avg_14
857,card_Merch_state_count_14
858,card_Merch_state_variability_std_7
859,card_Merch_state_variability_cum_7
860,card_Merch_state_variability_max_7
861,card_Merch_state_variability_min_7
862,card_Merch_state_variability_avg_7
863,card_Merch_state_actual/total_7
864,card_Merch_state_actual/max_7
865,card_Merch_state_actual/avg_7
866,card_Merch_state_std_7
867,card_Merch_state_total_7
868,card_Merch_state_max_7
869,card_Merch_state_avg_7
870,card_Merch_state_count_7
871,card_Merch_state_variability_std_3
872,card_Merch_state_variability_cum_3
873,card_Merch_state_variability_max_3
874,card_Merch_state_variability_min_3
875,card_Merch_state_variability_avg_3
876,card_Merch_state_actual/total_3
877,card_Merch_state_actual/max_3
878,card_Merch_state_actual/avg_3
879,card_Merch_state_std_3
880,card_Merch_state_total_3
881,card_Merch_state_max_3
882,card_Merch_state_avg_3
883,card_Merch_state_count_3
884,card_Merch_state_variability_std_1
885,card_Merch_state_variability_cum_1
886,card_Merch_state_variability_max_1
887,card_Merch_state_variability_min_1
888,card_Merch_state_variability_avg_1
889,card_Merch_state_actual/total_1
890,card_Merch_state_actual/max_1
891,card_Merch_state_actual/avg_1
892,card_Merch_state_std_1
893,card_Merch_state_total_1
894,card_Merch_state_max_1
895,card_Merch_state_avg_1
896,card_Merch_state_count_1
897,card_Merch_state_variability_std_0
898,card_Merch_state_variability_cum_0
899,card_Merch_state_variability_max_0
900,card_Merch_state_variability_min_0
901,card_Merch_state_variability_avg_0
902,card_Merch_state_actual/total_0
903,card_Merch_state_actual/max_0
904,card_Merch_state_actual/avg_0
905,card_Merch_state_std_0
906,card_Merch_state_total_0
907,card_Merch_state_max_0
908,card_Merch_state_avg_0
909,card_Merch_state_count_0
910,card_Merch_state_day_since
911,card_Merch_description_variability_std_30
912,card_Merch_description_variability_cum_30
913,card_Merch_description_variability_max_30
914,card_Merch_description_variability_min_30
915,card_Merch_description_variability_avg_30
916,card_Merch_description_actual/total_30
917,card_Merch_description_actual/max_30
918,card_Merch_description_actual/avg_30
919,card_Merch_description_std_30
920,card_Merch_description_total_30
921,card_Merch_description_max_30
922,card_Merch_description_avg_30
923,card_Merch_description_count_30
924,card_Merch_description_variability_std_14
925,card_Merch_description_variability_cum_14
926,card_Merch_description_variability_max_14
927,card_Merch_description_variability_min_14
928,card_Merch_description_variability_avg_14
929,card_Merch_description_actual/total_14
930,card_Merch_description_actual/max_14
931,card_Merch_description_actual/avg_14
932,card_Merch_description_std_14
933,card_Merch_description_total_14
934,card_Merch_description_max_14
935,card_Merch_description_avg_14
936,card_Merch_description_count_14
937,card_Merch_description_variability_std_7
938,card_Merch_description_variability_cum_7
939,card_Merch_description_variability_max_7
940,card_Merch_description_variability_min_7
941,card_Merch_description_variability_avg_7
942,card_Merch_description_actual/total_7
943,card_Merch_description_actual/max_7
944,card_Merch_description_actual/avg_7
945,card_Merch_description_std_7
946,card_Merch_description_total_7
947,card_Merch_description_max_7
948,card_Merch_description_avg_7
949,card_Merch_description_count_7
950,card_Merch_description_variability_std_3
951,card_Merch_description_variability_cum_3
952,card_Merch_description_variability_max_3
953,card_Merch_description_variability_min_3
954,card_Merch_description_variability_avg_3
955,card_Merch_description_actual/total_3
956,card_Merch_description_actual/max_3
957,card_Merch_description_actual/avg_3
958,card_Merch_description_std_3
959,card_Merch_description_total_3
960,card_Merch_description_max_3
961,card_Merch_description_avg_3
962,card_Merch_description_count_3
963,card_Merch_description_variability_std_1
964,card_Merch_description_variability_cum_1
965,card_Merch_description_variability_max_1
966,card_Merch_description_variability_min_1
967,card_Merch_description_variability_avg_1
968,card_Merch_description_actual/total_1
969,card_Merch_description_actual/max_1
970,card_Merch_description_actual/avg_1
971,card_Merch_description_std_1
972,card_Merch_description_total_1
973,card_Merch_description_max_1
974,card_Merch_description_avg_1
975,card_Merch_description_count_1
976,card_Merch_description_variability_std_0
977,card_Merch_description_variability_cum_0
978,card_Merch_description_variability_max_0
979,card_Merch_description_variability_min_0
980,card_Merch_description_variability_avg_0
981,card_Merch_description_actual/total_0
982,card_Merch_description_actual/max_0
983,card_Merch_description_actual/avg_0
984,card_Merch_description_std_0
985,card_Merch_description_total_0
986,card_Merch_description_max_0
987,card_Merch_description_avg_0
988,card_Merch_description_count_0
989,card_Merch_description_day_since
990,card_Merchnum_variability_std_30
991,card_Merchnum_variability_cum_30
992,card_Merchnum_variability_max_30
993,card_Merchnum_variability_min_30
994,card_Merchnum_variability_avg_30
995,card_Merchnum_actual/total_30
996,card_Merchnum_actual/max_30
997,card_Merchnum_actual/avg_30
998,card_Merchnum_std_30
999,card_Merchnum_total_30
1000,card_Merchnum_max_30
1001,card_Merchnum_avg_30
1002,card_Merchnum_count_30
1003,card_Merchnum_variability_std_14
1004,card_Merchnum_variability_cum_14
1005,card_Merchnum_variability_max_14
1006,card_Merchnum_variability_min_14
1007,card_Merchnum_variability_avg_14
1008,card_Merchnum_actual/total_14
1009,card_Merchnum_actual/max_14
1010,card_Merchnum_actual/avg_14
1011,card_Merchnum_std_14
1012,card_Merchnum_total_14
1013,card_Merchnum_max_14
1014,card_Merchnum_avg_14
1015,card_Merchnum_count_14
1016,card_Merchnum_variability_std_7
1017,card_Merchnum_variability_cum_7
1018,card_Merchnum_variability_max_7
1019,card_Merchnum_variability_min_7
1020,card_Merchnum_variability_avg_7
1021,card_Merchnum_actual/total_7
1022,card_Merchnum_actual/max_7
1023,card_Merchnum_actual/avg_7
1024,card_Merchnum_std_7
1025,card_Merchnum_total_7
1026,card_Merchnum_max_7
1027,card_Merchnum_avg_7
1028,card_Merchnum_count_7
1029,card_Merchnum_variability_std_3
1030,card_Merchnum_variability_cum_3
1031,card_Merchnum_variability_max_3
1032,card_Merchnum_variability_min_3
1033,card_Merchnum_variability_avg_3
1034,card_Merchnum_actual/total_3
1035,card_Merchnum_actual/max_3
1036,card_Merchnum_actual/avg_3
1037,card_Merchnum_std_3
1038,card_Merchnum_total_3
1039,card_Merchnum_max_3
1040,card_Merchnum_avg_3
1041,card_Merchnum_count_3
1042,card_Merchnum_variability_std_1
1043,card_Merchnum_variability_cum_1
1044,card_Merchnum_variability_max_1
1045,card_Merchnum_variability_min_1
1046,card_Merchnum_variability_avg_1
1047,card_Merchnum_actual/total_1
1048,card_Merchnum_actual/max_1
1049,card_Merchnum_actual/avg_1
1050,card_Merchnum_std_1
1051,card_Merchnum_total_1
1052,card_Merchnum_max_1
1053,card_Merchnum_avg_1
1054,card_Merchnum_count_1
1055,card_Merchnum_variability_std_0
1056,card_Merchnum_variability_cum_0
1057,card_Merchnum_variability_max_0
1058,card_Merchnum_variability_min_0
1059,card_Merchnum_variability_avg_0
1060,card_Merchnum_actual/total_0
1061,card_Merchnum_actual/max_0
1062,card_Merchnum_actual/avg_0
1063,card_Merchnum_std_0
1064,card_Merchnum_total_0
1065,card_Merchnum_max_0
1066,card_Merchnum_avg_0
1067,card_Merchnum_count_0
1068,card_Merchnum_day_since
1069,Merch_all_info_variability_std_30
1070,Merch_all_info_variability_cum_30
1071,Merch_all_info_variability_max_30
1072,Merch_all_info_variability_min_30
1073,Merch_all_info_variability_avg_30
1074,Merch_all_info_actual/total_30
1075,Merch_all_info_actual/max_30
1076,Merch_all_info_actual/avg_30
1077,Merch_all_info_std_30
1078,Merch_all_info_total_30
1079,Merch_all_info_max_30
1080,Merch_all_info_avg_30
1081,Merch_all_info_count_30
1082,Merch_all_info_variability_std_14
1083,Merch_all_info_variability_cum_14
1084,Merch_all_info_variability_max_14
1085,Merch_all_info_variability_min_14
1086,Merch_all_info_variability_avg_14
1087,Merch_all_info_actual/total_14
1088,Merch_all_info_actual/max_14
1089,Merch_all_info_actual/avg_14
1090,Merch_all_info_std_14
1091,Merch_all_info_total_14
1092,Merch_all_info_max_14
1093,Merch_all_info_avg_14
1094,Merch_all_info_count_14
1095,Merch_all_info_variability_std_7
1096,Merch_all_info_variability_cum_7
1097,Merch_all_info_variability_max_7
1098,Merch_all_info_variability_min_7
1099,Merch_all_info_variability_avg_7
1100,Merch_all_info_actual/total_7
1101,Merch_all_info_actual/max_7
1102,Merch_all_info_actual/avg_7
1103,Merch_all_info_std_7
1104,Merch_all_info_total_7
1105,Merch_all_info_max_7
1106,Merch_all_info_avg_7
1107,Merch_all_info_count_7
1108,Merch_all_info_variability_std_3
1109,Merch_all_info_variability_cum_3
1110,Merch_all_info_variability_max_3
1111,Merch_all_info_variability_min_3
1112,Merch_all_info_variability_avg_3
1113,Merch_all_info_actual/total_3
1114,Merch_all_info_actual/max_3
1115,Merch_all_info_actual/avg_3
1116,Merch_all_info_std_3
1117,Merch_all_info_total_3
1118,Merch_all_info_max_3
1119,Merch_all_info_avg_3
1120,Merch_all_info_count_3
1121,Merch_all_info_variability_std_1
1122,Merch_all_info_variability_cum_1
1123,Merch_all_info_variability_max_1
1124,Merch_all_info_variability_min_1
1125,Merch_all_info_variability_avg_1
1126,Merch_all_info_actual/total_1
1127,Merch_all_info_actual/max_1
1128,Merch_all_info_actual/avg_1
1129,Merch_all_info_std_1
1130,Merch_all_info_total_1
1131,Merch_all_info_max_1
1132,Merch_all_info_avg_1
1133,Merch_all_info_count_1
1134,Merch_all_info_variability_std_0
1135,Merch_all_info_variability_cum_0
1136,Merch_all_info_variability_max_0
1137,Merch_all_info_variability_min_0
1138,Merch_all_info_variability_avg_0
1139,Merch_all_info_actual/total_0
1140,Merch_all_info_actual/max_0
1141,Merch_all_info_actual/avg_0
1142,Merch_all_info_std_0
1143,Merch_all_info_total_0
1144,Merch_all_info_max_0
1145,Merch_all_info_avg_0
1146,Merch_all_info_count_0
1147,Merch_all_info_day_since
1148,Merch_des_state_zip_variability_std_30
1149,Merch_des_state_zip_variability_cum_30
1150,Merch_des_state_zip_variability_max_30
1151,Merch_des_state_zip_variability_min_30
1152,Merch_des_state_zip_variability_avg_30
1153,Merch_des_state_zip_actual/total_30
1154,Merch_des_state_zip_actual/max_30
1155,Merch_des_state_zip_actual/avg_30
1156,Merch_des_state_zip_std_30
1157,Merch_des_state_zip_total_30
1158,Merch_des_state_zip_max_30
1159,Merch_des_state_zip_avg_30
1160,Merch_des_state_zip_count_30
1161,Merch_des_state_zip_variability_std_14
1162,Merch_des_state_zip_variability_cum_14
1163,Merch_des_state_zip_variability_max_14
1164,Merch_des_state_zip_variability_min_14
1165,Merch_des_state_zip_variability_avg_14
1166,Merch_des_state_zip_actual/total_14
1167,Merch_des_state_zip_actual/max_14
1168,Merch_des_state_zip_actual/avg_14
1169,Merch_des_state_zip_std_14
1170,Merch_des_state_zip_total_14
1171,Merch_des_state_zip_max_14
1172,Merch_des_state_zip_avg_14
1173,Merch_des_state_zip_count_14
1174,Merch_des_state_zip_variability_std_7
1175,Merch_des_state_zip_variability_cum_7
1176,Merch_des_state_zip_variability_max_7
1177,Merch_des_state_zip_variability_min_7
1178,Merch_des_state_zip_variability_avg_7
1179,Merch_des_state_zip_actual/total_7
1180,Merch_des_state_zip_actual/max_7
1181,Merch_des_state_zip_actual/avg_7
1182,Merch_des_state_zip_std_7
1183,Merch_des_state_zip_total_7
1184,Merch_des_state_zip_max_7
1185,Merch_des_state_zip_avg_7
1186,Merch_des_state_zip_count_7
1187,Merch_des_state_zip_variability_std_3
1188,Merch_des_state_zip_variability_cum_3
1189,Merch_des_state_zip_variability_max_3
1190,Merch_des_state_zip_variability_min_3
1191,Merch_des_state_zip_variability_avg_3
1192,Merch_des_state_zip_actual/total_3
1193,Merch_des_state_zip_actual/max_3
1194,Merch_des_state_zip_actual/avg_3
1195,Merch_des_state_zip_std_3
1196,Merch_des_state_zip_total_3
1197,Merch_des_state_zip_max_3
1198,Merch_des_state_zip_avg_3
1199,Merch_des_state_zip_count_3
1200,Merch_des_state_zip_variability_std_1
1201,Merch_des_state_zip_variability_cum_1
1202,Merch_des_state_zip_variability_max_1
1203,Merch_des_state_zip_variability_min_1
1204,Merch_des_state_zip_variability_avg_1
1205,Merch_des_state_zip_actual/total_1
1206,Merch_des_state_zip_actual/max_1
1207,Merch_des_state_zip_actual/avg_1
1208,Merch_des_state_zip_std_1
1209,Merch_des_state_zip_total_1
1210,Merch_des_state_zip_max_1
1211,Merch_des_state_zip_avg_1
1212,Merch_des_state_zip_count_1
1213,Merch_des_state_zip_variability_std_0
1214,Merch_des_state_zip_variability_cum_0
1215,Merch_des_state_zip_variability_max_0
1216,Merch_des_state_zip_variability_min_0
1217,Merch_des_state_zip_variability_avg_0
1218,Merch_des_state_zip_actual/total_0
1219,Merch_des_state_zip_actual/max_0
1220,Merch_des_state_zip_actual/avg_0
1221,Merch_des_state_zip_std_0
1222,Merch_des_state_zip_total_0
1223,Merch_des_state_zip_max_0
1224,Merch_des_state_zip_avg_0
1225,Merch_des_state_zip_count_0
1226,Merch_des_state_zip_day_since
1227,Merch_num_state_zip_variability_std_30
1228,Merch_num_state_zip_variability_cum_30
1229,Merch_num_state_zip_variability_max_30
1230,Merch_num_state_zip_variability_min_30
1231,Merch_num_state_zip_variability_avg_30
1232,Merch_num_state_zip_actual/total_30
1233,Merch_num_state_zip_actual/max_30
1234,Merch_num_state_zip_actual/avg_30
1235,Merch_num_state_zip_std_30
1236,Merch_num_state_zip_total_30
1237,Merch_num_state_zip_max_30
1238,Merch_num_state_zip_avg_30
1239,Merch_num_state_zip_count_30
1240,Merch_num_state_zip_variability_std_14
1241,Merch_num_state_zip_variability_cum_14
1242,Merch_num_state_zip_variability_max_14
1243,Merch_num_state_zip_variability_min_14
1244,Merch_num_state_zip_variability_avg_14
1245,Merch_num_state_zip_actual/total_14
1246,Merch_num_state_zip_actual/max_14
1247,Merch_num_state_zip_actual/avg_14
1248,Merch_num_state_zip_std_14
1249,Merch_num_state_zip_total_14
1250,Merch_num_state_zip_max_14
1251,Merch_num_state_zip_avg_14
1252,Merch_num_state_zip_count_14
1253,Merch_num_state_zip_variability_std_7
1254,Merch_num_state_zip_variability_cum_7
1255,Merch_num_state_zip_variability_max_7
1256,Merch_num_state_zip_variability_min_7
1257,Merch_num_state_zip_variability_avg_7
1258,Merch_num_state_zip_actual/total_7
1259,Merch_num_state_zip_actual/max_7
1260,Merch_num_state_zip_actual/avg_7
1261,Merch_num_state_zip_std_7
1262,Merch_num_state_zip_total_7
1263,Merch_num_state_zip_max_7
1264,Merch_num_state_zip_avg_7
1265,Merch_num_state_zip_count_7
1266,Merch_num_state_zip_variability_std_3
1267,Merch_num_state_zip_variability_cum_3
1268,Merch_num_state_zip_variability_max_3
1269,Merch_num_state_zip_variability_min_3
1270,Merch_num_state_zip_variability_avg_3
1271,Merch_num_state_zip_actual/total_3
1272,Merch_num_state_zip_actual/max_3
1273,Merch_num_state_zip_actual/avg_3
1274,Merch_num_state_zip_std_3
1275,Merch_num_state_zip_total_3
1276,Merch_num_state_zip_max_3
1277,Merch_num_state_zip_avg_3
1278,Merch_num_state_zip_count_3
1279,Merch_num_state_zip_variability_std_1
1280,Merch_num_state_zip_variability_cum_1
1281,Merch_num_state_zip_variability_max_1
1282,Merch_num_state_zip_variability_min_1
1283,Merch_num_state_zip_variability_avg_1
1284,Merch_num_state_zip_actual/total_1
1285,Merch_num_state_zip_actual/max_1
1286,Merch_num_state_zip_actual/avg_1
1287,Merch_num_state_zip_std_1
1288,Merch_num_state_zip_total_1
1289,Merch_num_state_zip_max_1
1290,Merch_num_state_zip_avg_1
1291,Merch_num_state_zip_count_1
1292,Merch_num_state_zip_variability_std_0
1293,Merch_num_state_zip_variability_cum_0
1294,Merch_num_state_zip_variability_max_0
1295,Merch_num_state_zip_variability_min_0
1296,Merch_num_state_zip_variability_avg_0
1297,Merch_num_state_zip_actual/total_0
1298,Merch_num_state_zip_actual/max_0
1299,Merch_num_state_zip_actual/avg_0
1300,Merch_num_state_zip_std_0
1301,Merch_num_state_zip_total_0
1302,Merch_num_state_zip_max_0
1303,Merch_num_state_zip_avg_0
1304,Merch_num_state_zip_count_0
1305,Merch_num_state_zip_day_since
1306,Merch_num_des_zip_variability_std_30
1307,Merch_num_des_zip_variability_cum_30
1308,Merch_num_des_zip_variability_max_30
1309,Merch_num_des_zip_variability_min_30
1310,Merch_num_des_zip_variability_avg_30
1311,Merch_num_des_zip_actual/total_30
1312,Merch_num_des_zip_actual/max_30
1313,Merch_num_des_zip_actual/avg_30
1314,Merch_num_des_zip_std_30
1315,Merch_num_des_zip_total_30
1316,Merch_num_des_zip_max_30
1317,Merch_num_des_zip_avg_30
1318,Merch_num_des_zip_count_30
1319,Merch_num_des_zip_variability_std_14
1320,Merch_num_des_zip_variability_cum_14
1321,Merch_num_des_zip_variability_max_14
1322,Merch_num_des_zip_variability_min_14
1323,Merch_num_des_zip_variability_avg_14
1324,Merch_num_des_zip_actual/total_14
1325,Merch_num_des_zip_actual/max_14
1326,Merch_num_des_zip_actual/avg_14
1327,Merch_num_des_zip_std_14
1328,Merch_num_des_zip_total_14
1329,Merch_num_des_zip_max_14
1330,Merch_num_des_zip_avg_14
1331,Merch_num_des_zip_count_14
1332,Merch_num_des_zip_variability_std_7
1333,Merch_num_des_zip_variability_cum_7
1334,Merch_num_des_zip_variability_max_7
1335,Merch_num_des_zip_variability_min_7
1336,Merch_num_des_zip_variability_avg_7
1337,Merch_num_des_zip_actual/total_7
1338,Merch_num_des_zip_actual/max_7
1339,Merch_num_des_zip_actual/avg_7
1340,Merch_num_des_zip_std_7
1341,Merch_num_des_zip_total_7
1342,Merch_num_des_zip_max_7
1343,Merch_num_des_zip_avg_7
1344,Merch_num_des_zip_count_7
1345,Merch_num_des_zip_variability_std_3
1346,Merch_num_des_zip_variability_cum_3
1347,Merch_num_des_zip_variability_max_3
1348,Merch_num_des_zip_variability_min_3
1349,Merch_num_des_zip_variability_avg_3
1350,Merch_num_des_zip_actual/total_3
1351,Merch_num_des_zip_actual/max_3
1352,Merch_num_des_zip_actual/avg_3
1353,Merch_num_des_zip_std_3
1354,Merch_num_des_zip_total_3
1355,Merch_num_des_zip_max_3
1356,Merch_num_des_zip_avg_3
1357,Merch_num_des_zip_count_3
1358,Merch_num_des_zip_variability_std_1
1359,Merch_num_des_zip_variability_cum_1
1360,Merch_num_des_zip_variability_max_1
1361,Merch_num_des_zip_variability_min_1
1362,Merch_num_des_zip_variability_avg_1
1363,Merch_num_des_zip_actual/total_1
1364,Merch_num_des_zip_actual/max_1
1365,Merch_num_des_zip_actual/avg_1
1366,Merch_num_des_zip_std_1
1367,Merch_num_des_zip_total_1
1368,Merch_num_des_zip_max_1
1369,Merch_num_des_zip_avg_1
1370,Merch_num_des_zip_count_1
1371,Merch_num_des_zip_variability_std_0
1372,Merch_num_des_zip_variability_cum_0
1373,Merch_num_des_zip_variability_max_0
1374,Merch_num_des_zip_variability_min_0
1375,Merch_num_des_zip_variability_avg_0
1376,Merch_num_des_zip_actual/total_0
1377,Merch_num_des_zip_actual/max_0
1378,Merch_num_des_zip_actual/avg_0
1379,Merch_num_des_zip_std_0
1380,Merch_num_des_zip_total_0
1381,Merch_num_des_zip_max_0
1382,Merch_num_des_zip_avg_0
1383,Merch_num_des_zip_count_0
1384,Merch_num_des_zip_day_since
1385,Merch_num_des_state_variability_std_30
1386,Merch_num_des_state_variability_cum_30
1387,Merch_num_des_state_variability_max_30
1388,Merch_num_des_state_variability_min_30
1389,Merch_num_des_state_variability_avg_30
1390,Merch_num_des_state_actual/total_30
1391,Merch_num_des_state_actual/max_30
1392,Merch_num_des_state_actual/avg_30
1393,Merch_num_des_state_std_30
1394,Merch_num_des_state_total_30
1395,Merch_num_des_state_max_30
1396,Merch_num_des_state_avg_30
1397,Merch_num_des_state_count_30
1398,Merch_num_des_state_variability_std_14
1399,Merch_num_des_state_variability_cum_14
1400,Merch_num_des_state_variability_max_14
1401,Merch_num_des_state_variability_min_14
1402,Merch_num_des_state_variability_avg_14
1403,Merch_num_des_state_actual/total_14
1404,Merch_num_des_state_actual/max_14
1405,Merch_num_des_state_actual/avg_14
1406,Merch_num_des_state_std_14
1407,Merch_num_des_state_total_14
1408,Merch_num_des_state_max_14
1409,Merch_num_des_state_avg_14
1410,Merch_num_des_state_count_14
1411,Merch_num_des_state_variability_std_7
1412,Merch_num_des_state_variability_cum_7
1413,Merch_num_des_state_variability_max_7
1414,Merch_num_des_state_variability_min_7
1415,Merch_num_des_state_variability_avg_7
1416,Merch_num_des_state_actual/total_7
1417,Merch_num_des_state_actual/max_7
1418,Merch_num_des_state_actual/avg_7
1419,Merch_num_des_state_std_7
1420,Merch_num_des_state_total_7
1421,Merch_num_des_state_max_7
1422,Merch_num_des_state_avg_7
1423,Merch_num_des_state_count_7
1424,Merch_num_des_state_variability_std_3
1425,Merch_num_des_state_variability_cum_3
1426,Merch_num_des_state_variability_max_3
1427,Merch_num_des_state_variability_min_3
1428,Merch_num_des_state_variability_avg_3
1429,Merch_num_des_state_actual/total_3
1430,Merch_num_des_state_actual/max_3
1431,Merch_num_des_state_actual/avg_3
1432,Merch_num_des_state_std_3
1433,Merch_num_des_state_total_3
1434,Merch_num_des_state_max_3
1435,Merch_num_des_state_avg_3
1436,Merch_num_des_state_count_3
1437,Merch_num_des_state_variability_std_1
1438,Merch_num_des_state_variability_cum_1
1439,Merch_num_des_state_variability_max_1
1440,Merch_num_des_state_variability_min_1
1441,Merch_num_des_state_variability_avg_1
1442,Merch_num_des_state_actual/total_1
1443,Merch_num_des_state_actual/max_1
1444,Merch_num_des_state_actual/avg_1
1445,Merch_num_des_state_std_1
1446,Merch_num_des_state_total_1
1447,Merch_num_des_state_max_1
1448,Merch_num_des_state_avg_1
1449,Merch_num_des_state_count_1
1450,Merch_num_des_state_variability_std_0
1451,Merch_num_des_state_variability_cum_0
1452,Merch_num_des_state_variability_max_0
1453,Merch_num_des_state_variability_min_0
1454,Merch_num_des_state_variability_avg_0
1455,Merch_num_des_state_actual/total_0
1456,Merch_num_des_state_actual/max_0
1457,Merch_num_des_state_actual/avg_0
1458,Merch_num_des_state_std_0
1459,Merch_num_des_state_total_0
1460,Merch_num_des_state_max_0
1461,Merch_num_des_state_avg_0
1462,Merch_num_des_state_count_0
1463,Merch_num_des_state_day_since
1464,Merch_state_zip_variability_std_30
1465,Merch_state_zip_variability_cum_30
1466,Merch_state_zip_variability_max_30
1467,Merch_state_zip_variability_min_30
1468,Merch_state_zip_variability_avg_30
1469,Merch_state_zip_actual/total_30
1470,Merch_state_zip_actual/max_30
1471,Merch_state_zip_actual/avg_30
1472,Merch_state_zip_std_30
1473,Merch_state_zip_total_30
1474,Merch_state_zip_max_30
1475,Merch_state_zip_avg_30
1476,Merch_state_zip_count_30
1477,Merch_state_zip_variability_std_14
1478,Merch_state_zip_variability_cum_14
1479,Merch_state_zip_variability_max_14
1480,Merch_state_zip_variability_min_14
1481,Merch_state_zip_variability_avg_14
1482,Merch_state_zip_actual/total_14
1483,Merch_state_zip_actual/max_14
1484,Merch_state_zip_actual/avg_14
1485,Merch_state_zip_std_14
1486,Merch_state_zip_total_14
1487,Merch_state_zip_max_14
1488,Merch_state_zip_avg_14
1489,Merch_state_zip_count_14
1490,Merch_state_zip_variability_std_7
1491,Merch_state_zip_variability_cum_7
